siteID,sitename,siteNumInCensus,year,established,ts_length,cov_hours,cov_visits,cov_times,cov_notes,area,richness,territories,terr_notes,weather
173,MIXED LOWLAND FOREST AND MEADOW WITH STREAM,701990.0,1990.0,1981.0,4,18.3,15,," (11 morning, 2 afternoon, 2 evening); 5, 11, 19, 22, 30, 31 May; 1, 6, 16, 24, 26, 27, 28 June; 5 July.",8.1,42.0,84.0,415/40 ha,Mean temperature 152°C (range 4-25°C). All counts were conducted in calm or light winds.
174,MIXED MESOPHYTIC WOODS AND BRUSHLAND,711990.0,1990.0,1989.0,2,31.7,11,," (mornings); 20, 26 April; 1, 9, 14, 19, 24, 30 May; 2, 9, 14 June.",22.9,35.0,68.5,120/40 ha,Mean temperature 13°C (range 9-17°C).
131,COASTAL FRESHWATER MARSH,721990.0,1990.0,1985.0,6,9.9,8,," (mornings); 4, 13, 18, 25 April; 4, 16, 23, 31 May.",10.5,18.0,99.5,379/40 ha,Mean temperature 122°C. (range 10-16°C).
175,COASTAL RIPARIAN MARSH,731990.0,1990.0,1990.0,1,21.4,8,," (mornings); 26 March; 17, 25 April; 6, 16, 22 May; 1, 10 June.",17.5,49.0,1177.5,2691/40 ha,"Mean temperature 11°C (range 9-24°C). 1990 was the fourth straight yr in which rainfall was below average, although marsh showed no signs of desiccation."
176,DESERT RIPARIAN-FRESHWATER MARSH,741990.0,1990.0,1977.0,14,23.3,8,," (mornings); 17 April; 2, 9, 16, 23, 30 May; 6, 15 June.",15.4,32.0,131.0,340/40 ha,"Mean temperature 8°C (range 3-18°C). The drought in the southeast has continued into its fourth yr and has been devastating to much of the Southern California desert. Riparian areas have been maintained by continuous stream flow, but the desert edge is very dry."
72,SHRUBBY SWAMP AND SEDGE HUMMOCKS,751990.0,1990.0,1965.0,24,11.0,5,," (1 morning, 4 evenings); 17, 21, 23, 24, 25 June. (A minimum of eight visits during afour to six week period is recommended to insure adequate coverage and estimates of breeding bird densities. Ed.).",8.1,20.0,144.5,714/40 ha,Mean temperature 204°C (range 17-22°C).
74,WETLAND SEDGE MEADOW I,761990.0,1990.0,1981.0,10,6.6,8,," (mornings); 5, 6, 7, 11, 12, 13, 14, 18 June.",16.2,11.0,52.0,128/40 ha,"Wet and cool. Temperature departure from average was -2.9°F and +1.5°F, and for precipitation, +1.1 cm and +11.4 cm, for May and June, respectively."
75,WETLAND SEDGE MEADOW II,771990.0,1990.0,1982.0,9,3.9,8,," (mornings); 5, 6, 7, 11, 12, 13, 14, 18 June.",16.2,12.0,42.5,105/40 ha,"Wet and cool. Temperature departure from average was -2.9°F and +1.5°F, and for precipitation, +1.1 cm and +11.4 cm, for May and June, respectively."
177,MESQUITE-HACKBERRY RIPARIAN ASSOCIATION,781990.0,1990.0,1985.0,2,14.5,13,," (mornings); 26 March; 9, 18, 22 April; 18 May; 4, 7, 8, 16 June.",11.2,22.0,85.0,303/ 40 ha,Mean temperature 17°C (range 9-30°C).
55,COASTAL SCRUB,791990.0,1990.0,1971.0,16,163.0,76,," (71 morning, 4 afternoon, 1 evening); 1 April through 29 June.",8.1,16.0,43.5,219/40 ha,Mean temperature 9.6°C (range 514°C). Drought conditions continue for the fourth straight yr. Total rainfall this yr was the lowest during the past 12 yr.
53,DISTURBED COASTAL SCRUB A,801990.0,1990.0,1972.0,16,135.0,61,," (59 mornings, 2 afternoons); 2 April to 30 June.",4.7,21.0,24.0,204/40 ha,"Mean temperature 96°C (range 514°C). Drought conditions continued for the fourth straight yr. Rainfall (53.7 cm) was lowest in 12 yr; however, May was the wettest in 23 yr."
54,DISTURBED COASTAL SCRUB B,811990.0,1990.0,1971.0,17,181.0,65,," (64 morning, 1 afternoon); 2 April through 30 June.",8.1,17.0,38.0,188/40 ha,Mean temperature 96°C (range 5-14°C). Drought conditions continue for the fourth straight yr. Total rainfall this yr was the lowest during the past 12 yr.
56,COASTAL PRAIRIE,821990.0,1990.0,1988.0,3,7.1,8,," (mornings); 4, 13, 18, 25 April; 4, 16, 23, 31 May.",31.0,14.0,33.0,49/40 ha,Mean temperature 122°C (range 10-16°C).
124,TALLGRASS PRAIRIE I,831990.0,1990.0,1982.0,7,6.5,6,," (mornings); 10, 11, 12, 13, 14, 15 June. (A minimum of eight visits during a four to six week period is recommended to insure adequate coverage and estimates of breeding bird densities. Ed).",16.0,18.0,32.5,81 / 40 ha,"Mean temperature 172°C (range 14-23°C). Despite above average precipitation in May and June, ground moisture content and regional water levels had not returned to pre-1988 conditions at time of census."
125,TALLGRASS PRAIRIE II,841990.0,1990.0,1982.0,7,9.0,3,," (morning); 10, 12, 14 June. (A minimum of eight visits during a four to six week period is recommended to insure adequate coverage and estimates of breeding bird densities. Ed).",65.7,17.0,128.0,78/40 ha,"Mean temperature 17°C (range 14-23°C). Despite above average precipitation in May and June, ground moisture content and regional water levels had not returned to pre-1988 conditions at time of census."
126,TALLGRASS PRAIRIE III,851990.0,1990.0,1982.0,7,8.3,3,," (mornings); 11, 13, 15 June. (A minimum of eight visits during afour to six week period is recommended to insure adequate coverage and estimates of breeding bird densities. Ed.).",44.8,19.0,111.0,99/40 ha,Mean temperature 173°C (range 16-19°C).
60,KENTUCKY BLUEGRASS PRAIRIE,861990.0,1990.0,1972.0,19,2.6,8,," (mornings); 30, 31 May; 6, 7, 12 June.",4.8,6.0,5.0,42/40 ha,"Generally moderate temperatures, fairly calm with precipitation during one visit."
61,MIXED PRAIRIE I,871990.0,1990.0,1972.0,19,5.9,7,," (mornings); 30, 31 May; 6, 7, 12 June.",10.0,10.0,15.0,60/40 ha,Moderate temperatures and winds with no precipitation during visits.
128,MIXED PRAIRIE II,881990.0,1990.0,1972.0,19,3.3,9,," (mornings); 30, 31 May; 6, 7, 12 June.",6.1,6.0,2.0,13/40 ha,Moderate temperatures and winds with no precipitation during census.
63,MIXED PRAIRIE III,891990.0,1990.0,1972.0,19,2.3,7,," (mornings); 30, 31 May; 6, 12 June.",6.1,3.0,0.5,3/40 ha,Moderate temperatures and winds with no precipitation during visits.
129,MIXED PRAIRIE IV,901990.0,1990.0,1972.0,19,3.0,8,," (mornings); 30, 31 May; 7, 12 june.",6.1,7.0,4.5,30/40 ha,Moderate temperatures and winds with occasional light drizzle.
130,MIXED PRAIRIE V,911990.0,1990.0,1972.0,19,2.9,9,," (mornings); 30, 31 May; 6, 7, 12 June.",6.1,3.0,2.0,13 / 40 ha,Moderate temperatures and winds with no precipitation during visits.
67,SUBIRRIGATED GRASSLAND,921990.0,1990.0,1981.0,10,4.4,8,," (mornings); 5, 6, 7, 11, 12, 13, 14, 18 June.",16.2,7.0,32.0,79/40 ha,"Wet and cool. Temperature departure from average was -2.9°F and +1.5°F, and for precipitation, +1.1 cm and +11.4 cm, for May and June, respectively."
66,SUBIRRIGATED NATIVE HAY,931990.0,1990.0,1981.0,10,3.9,8,," (mornings); 5, 6, 7, 11, 12, 13, 14, 18 June.",16.2,5.0,15.5,38/ 40 ha,"Wet and cool. Temperature departure from average was -2.9°F and +1.5°F, and for precipitation, +1.1 cm and +11.4 cm, for May and June, respectively."
178,TALLGRASS PRAIRIE REMNANT,941990.0,1990.0,1990.0,1,46.5,9,," (7 mornings, 2 afternoons, 4 evenings); 15, 21 May; 5, 12, 19, 25 June; 6, 10, 25 July.",44.0,15.0,167.0,152/40 ha,Mean temperature 16°C (range 4-24°C). Precipitation was above average during May and June.
179,FIELD AND SHRUBLAND,951990.0,1990.0,1990.0,1,19.8,10,," (mornings); 25, 31 May; 4, 10, 15, 22 June; 2, 9, 16, 19 July.",24.0,25.0,65.5,109/40 ha,Mean temperature 181°C (range 11-24°C).
48,ABANDONED UPLAND PASTURE,961990.0,1990.0,1984.0,7,25.0,14,," (11 mornings, 3 evenings); 10, 12 March; 24 April; 1, 9, 18, 28 May; 9, 20, 30 June; 10, 24, 30 July; 7, 15, 24, 31 August.",8.0,33.0,133.0,665/40 ha,Mean temperature 158°C (range 9-23°C). Visits were made on mostly fair days with negligible wind.
49,ABANDONED PASTURE SCRUBLAND,971990.0,1990.0,1982.0,9,24.0,8,," (mornings); 2, 10, 16, 28, 30 June; 2, 11, 14 July.",9.0,35.0,83.0,369/40 ha,Mean temperature 166°C (range 13-20°C).
139,NORTHERN OAK WOODLAND,11991.0,1991.0,1990.0,2,9.3,8,," (3 sunrise); 1, 11, 17, 23 April; 2, 10, 21, 28 May.",16.0,21.0,47.0,118/40 ha,"Mean start temp., 7.4""C (range 3-12°C). Northern California has experienced the fifth consecutive yr of drought."
88,RIPARIAN WOODLAND,21991.0,1991.0,1989.0,3,24.2,10,," (9 sunrise, 1 sunset); 6, 20, 28 April; 11, 18, 25 May; 2, 22 June; 4, 6 July.",11.7,31.0,181.0,619/40 ha,"Mean start temp, 14.7°C (range 10~27°C)."
180,WESTERN SYCAMORE WOODLAND WITH,31991.0,1991.0,1990.0,2,41.5,10,," (10 sunrise); 22, 23, 30 March; 9, 13, 25, 27 April; 1, 7, 16 May.",15.9,26.0,90.5,228/40 ha,"Mean start temp.,.6.5°C (range 4-9°C)."
90,MIXED HARDWOOD POLETIMBER,41991.0,1991.0,1965.0,25,14.8,8,," (1 sunrise, 4 sunset); 17, 31 May; 1, 7, 8, 11, 21, 22 June.",8.5,30.0,75.0,353/40 ha,"Mean start temp, 22.1°C (range 11728°C)."
3,SECOND-GROWTH HARDWOOD FOREST,51991.0,1991.0,1965.0,25,13.5,8,," (1 sunrise, 3 sunset); 17, 31 May; 1, 8, 11, 12, 21, 22 June.",10.1,43.0,94.5,374/40 ha,"Mean start temp., 24°C (range 19-27°C)."
161,CENTRAL HARDWOOD FOREST WITH SCATTERED PINE,61991.0,1991.0,1948.0,43,41.0,26,," (24 sunrise, 2 sunset); 17, 24 March; 7, 10, 18, 21, 25, 28 April; 2, 5, 8, 12, 15, 19 May; 9, 16, 20, 22, 25, 27, 28, 29, 30 June; 3, 7 July.",26.3,27.0,59.0,90/40 ha,"Mean start temp, 182°C (range 7-32°C)."
85,MIXED UPLAND BROADLEAF FOREST,71991.0,1991.0,1959.0,33,107.5,27,," (24 sunrise); 6,7, 12, 17, 19, 25, 26, 28 April; 2, 7, 8, 11, 12, 16, 20, 23, 24 May; 5, 6, 7, 8, 14, 15, 22, 24, 26 June.",14.2,40.0,243.0,685/40 ha,"Mean start temp., 202°C (range 9-29°C)."
25,MATURE BEECH-MAGNOLIA FOREST,81991.0,1991.0,1980.0,4,140.0,28,,; 9 April-9 June.,15.7,28.0,123.5,315/40 ha,"No data provided. An unusually wet breeding season. The stream fiowed throughout the period, the 0.25 ha gum pond was full of water, and another small pond (0.06 ha) was also full until the second week of May."
181,WHITE ALDER-BLACK LOCUST-HACKBERRY RIPARIAN,91991.0,1991.0,1991.0,1,36.8,12,," (12 sunrise); 3, 4, 5, 6, 10, 11, 12, 13, 18, 19, 20, 21 June.",5.3,16.0,51.0,385/40 ha,"Mean start temp., 10°C (range 5-16°C)."
182,DISTURBED DECIDUOUS FOREST,101991.0,1991.0,1990.0,2,12.8,8,," (7 sunrise); 23, 27, 31 May; 2, 5, 8, 14, 28 June.",16.2,20.0,42.0,104/40 ha,"Mean start temp., 231°C (range 18-26°C)."
183,OAK-HICKORY FOREST,111991.0,1991.0,1978.0,11,12.4,8,," (5 sunrise); 22, 28 May; 5, 10, 18, 23, 25, 26 June.",8.1,17.0,37.0,183/40 ha,"Mean start temp, 223°C (range 19~25°C)."
184,OAK-HICKORY FOREST II,121991.0,1991.0,1978.0,11,11.8,8,," (3 sunrise); 22, 28 May; 3, 7, 9, 15, 23, 26 June.",8.1,13.0,24.5,121/40 ha,"Mean start temp., 227°C (range 19-28°C)."
185,OAK-HICKORY FOREST III,131991.0,1991.0,1978.0,4,12.5,9,," (4 sunrise, 0 sunset); 27, 29, 31 May; 2, 5, 7, 9, 14, 23 June.",8.1,22.0,42.5,210/40 ha,"Mean start temp., 231°C (range 17-30°C)."
186,RIPARIAN DECIDUOUS WOODLAND,141991.0,1991.0,1991.0,1,9.9,9,," (4 sunrise); 30 May; 3, 4, 8, 14, 17, 24, 27, 28 June.",10.1,21.0,25.5,101/40 ha,"Mean start temp., 228°C (range 20-26°C)."
187,OAK-HICKORY NORTHERN HARDWOODS TRANSITION,151991.0,1991.0,1991.0,1,39.5,8,," (8 sunrise); 23, 30 May; 6, 16, 20, 22, 25, 28 June.",28.0,31.0,162.5,232/40 ha,"Mean start temp, 161°C (range 6-26°C). Temperature and precipitation departures, respectively, from the 30-yr mean, May, +2.7°C, -6.6 cm, June, +1.1°C, -0.08 cm. Data source: National Weather Service, Logan Airport and South Weymouth Naval Air Station."
143,MATURE BEECH-MAPLE-OAK BOTTOMLAND FOREST,161991.0,1991.0,1990.0,2,41.7,10,," (4 sunrise); 26 April; 8, 13, 16, 20, 23, 29 May; 10, 26 June; 11 July.",42.0,38.0,241.0,230/40 ha,"Mean start temp, 159°C (range 11-21°C). This was the hottest summer on record in the Washington, DC. area. Precipitation for May through August was onethird of normal."
6,MATURE DECIDUOUS FLOODPLAIN FOREST,171991.0,1991.0,1946.0,41,55.3,18,," (11 sunrise); 6, 11, 13, 16, 20, 25, 27, 30 April; 3, 4, 5, 12, 13, 18, 19, 25 1\«Iay; 4 June.",7.6,22.0,71.5,376/40 ha,"Mean start temp., 13.6°C (range 7-21°C)."
144,UPLAND TULIPTREE-MAPLE-OAK FOREST,181991.0,1991.0,1971.0,8,50.5,25,," (21 sunrise, 4 sunset); 20, 27 April; 4, 5,11,12,18,19, 21, 25, 26 May; 1, 2, 8,11,15, 16,22, 26, 29, 30 June; 6, 11, 16, 19 July.",11.9,30.0,131.0,440/40 ha,"Mean start temp, 197°C (range 4-30°C). Temperature and precipitation departures, respectively, from the 30-yr mean for: May, +4°C, -5.8 cm; June, +1.4°C, -6.8 cm; July, +1.5""C, -5.4 cm. Source: Baltimore Washington International Airport."
145,OLD GROWTH WOODS AND SWAMP FOREST,191991.0,1991.0,1989.0,3,24.5,8,," (4 sunrise, 1 sunset); 20 April; 16, 23, 27 May; 6, 19, 21, 27 June.",28.3,47.0,224.0,320/40 ha,"Mean start temp., 21.1°C (range 10727°C)."
146,BASSWOOD-BLACK ASH FOREST WITH DEAD TIMBER,201991.0,1991.0,1979.0,5,29.2,8,," (6 sunrise, 2 sunset); 23, 25, 27, 28, 30 June; 2, 5, 7 July.",11.5,28.0,132.5,461 / 40 ha,"Mean start temp, 198°C (range 16727°C)."
188,MAPLE-BASSWOOD FOREST,211991.0,1991.0,1991.0,1,16.4,8,," (4 sunrise); 23, 25, 26, 28 June; 1, 2, 9, 10 July.",13.4,19.0,60.0,179/40 ha,"Mean start temp., 21.8°C (range 19-29°C)."
189,MATURE ASPEN FOREST WITH YOUNG,221991.0,1991.0,1990.0,2,23.5,8,," (7 sunrise, 1 sunset); 19, 22, 26, 29 June; 3, 5, 7, 10 July.",10.0,19.0,103.5,414/40 ha,"Mean start temp, 17.4°C (range 10-29°C)."
96,UPLAND SECOND-GROWTH OAK-HICKORY FOREST,231991.0,1991.0,1989.0,3,24.5,12,," (12 sunrise); 30 April; 1, 2, 6, 7, 10, 11, 15, 20, 24, 25 May; 1 June.",10.0,36.0,163.0,652/40 ha,"Mean start temp, 17.8°C (range 11-23°C). Rainfall very high during period, with > 20 cm in May."
148,FLOODPLAIN FOREST,241991.0,1991.0,1977.0,15,21.8,10,," (6 sunrise); 24 April; 1, 8, 12, 22, 27, 28 May; 11, 24, 29 June.",12.6,30.0,85.5,271/40 ha,N 0 data provided.
100,MIXED DECIDUOUS FOREST,251991.0,1991.0,1976.0,16,17.9,10,," (7 sunrise); 27, 29 April; 8, 14, 24, 28 May; 11, 14, 24, 26 June.",12.6,26.0,78.5,249/40 ha,No data provided.
97,ISOLATED BEECH-MAPLE WOODS,261991.0,1991.0,1989.0,3,15.6,9,," (7 sunrise); 24 April; 1 May; 3, 5, 7, 15, 18, 21, 25 June.",13.5,20.0,36.0,107/40 ha,"Mean start temp., 14.4°C (range 6-30'C)."
190,ISOLATED MAPLE-BIRCH-ASH SWAMP,271991.0,1991.0,1991.0,1,10.5,7,," (6 sunrise); 26 April; 4, 6, 17, 20, 24, 28 June.",17.3,23.0,36.5,84/40 ha,"Mean start temp., 14.1°C (range 819°C)."
191,MATURE URBAN DECIDUOUS FOREST I,281991.0,1991.0,1987.0,5,32.3,8,," (1 sunrise); 26 April; 3, 7, 15, 23, 31 May; 7, 14 June.",10.1,22.0,55.5,220/40 ha,"Mean start temp, 17.3°C (range 9'24°C)."
192,MATURE URBAN DECIDUOUS FOREST H,291991.0,1991.0,1991.0,1,47.3,14,," (13 sunrise, 1 sunset); 21, 22, 26, 27, 28, 29 May; 1, 5, 9, 13, 19, 24, 28 June; 5 July.",10.0,24.0,74.0,296/40 ha,"Mean start temp, 179°C (range 10-26°C)."
193,MIXED UPLAND FOREST,301991.0,1991.0,1975.0,16,34.5,15,," (15 sunrise); 7, 9, 13, 19, 21, 23, 29 May; 2, 3, 5, 8, 10, 16, 18, 25 June.",42.3,52.0,134.0,127/40 ha,"Mean start temp., 14.7°C (range 7-27°C)."
194,URBAN DECIDUOUS WETLAND WITH STREAM,311991.0,1991.0,1991.0,1,19.3,11,," (11 sunrise); 21, 24, 28, 31 May; 4, 7, 14, 18, 21, 26, 28 June.",7.0,15.0,27.0,154/40 ha,"Mean start temp, 158°C (range 12-22°C)."
8,WHITE ASH-RED MAPLE FOREST,321991.0,1991.0,1986.0,6,10.0,10,," (6 sunrise, 3 sunset); 22, 27, 29, 30 May; 1, 3, 5, 6, 9, 10 June.",16.2,29.0,82.0,202/40 ha,"Mean start temp., 177°C. (range 1224°C)."
195,MATURE BROADLEAF FOREST,331991.0,1991.0,1991.0,1,24.6,10,," (9 sunrise); 1, 8, 9, 15, 22, 23, 29, 30 June; 4, 6 July.",16.0,27.0,85.5,214/40 ha,"Mean start temp, 21.6°C (range 16-25°C)."
196,MIXED HARDWOOD SWAMP,341991.0,1991.0,1989.0,2,28.0,8,," (8 sunrise); 23, 27, 30 May; 3, 6, 10, 13, 17 June.",12.1,31.0,77.0,255/40 ha,"Mean start temp, 15.4°C (range 11-18°C). By the end of the nesting season, the area had been declared a federal disaster area due to drought conditions."
102,RIPARIAN DECIDUOUS FOREST,351991.0,1991.0,1989.0,3,21.5,8,," (1 sunrise); 8, 29 May; 5, 13, 15, 30 June; 6, 11 July.",18.0,35.0,130.5,290/40 ha,"Mean start temp, 20°C (range 12-27°C). Temperatures slightly above average for the period 8 May to 11 July. Precipitation above average in May, below average in June, and normal for first half of July."
197,DRY COTTONWOOD SAND DUNE,361991.0,1991.0,1973.0,3,235.0,10,," (8 sunrise, 2 sunset); 6, 13, 16, 17, 20, 21, 25, 26, 30 June; 3 July.",10.0,7.0,15.5,62/40 ha,"Mean start temp, 21°C (range 20-22°C)."
198,RED ASH-RED OAK SAVANNAH,371991.0,1991.0,1991.0,1,45.0,11,," (9 sunrise, 2 sunset); 1, 2, 5, 6, 9, 13, 17, 20, 23, 24 June; 10 July.",10.3,26.0,121.0,470/40 ha,"Mean start temp., 21°C (range 20-23°C)."
199,RED OAK-IRONWOOD SAVANNAH,381991.0,1991.0,1979.0,2,45.0,11,," (9 sunrise, 2 sunset); 5, 6, 8, 13, 14, 15, 18, 19, 21 June; 9 July.",12.0,27.0,164.5,548/40 ha,"Mean start temp., 20°C (range 18-22°C)."
200,RED OAK-SUGAR MAPLE FOREST,391991.0,1991.0,1973.0,3,49.3,13,," (10 sunrise, 2 sunset); 3, 5, 8, 9, 12, 13, 14, 19, 20, 24 June; 10 July.",11.0,25.0,135.5,493/40 ha,"Mean start temp., 21°C (range 20-25°C)."
201,RED OAK-SUGAR MAPLE SAVANNAH,401991.0,1991.0,1979.0,2,45.0,12,," (9 sunrise, 3 sunset); 3, 6, 7, 8, 10, 12, 17, 18, 21, 23, 24 June; 9 July.",10.5,25.0,137.0,522/40 ha,"Mean'start temp., 20°C (range 18-23°C)."
202,RED OAK-WHITE BIRCH SAVANNAH,411991.0,1991.0,1978.0,3,27.6,10,," (8 sunrise, 2 sunset); 19, 20, 21, 25, 26 June; 2, 3, 10, 11 July.",10.0,25.0,69.5,278/40 ha,"Mean start temp, 22°C (range 19-23°C)."
13,OAK-MAPLE RIDGE-TOP FOREST,421991.0,1991.0,1982.0,10,24.0,11,," (11 sunrise); 2, 4, 8, 11, 13, 18, 20, 25 May; 5, 8, 12 June.",19.3,18.0,39.0,81/40 ha,"Mean start temp., 14°C (range 10-22°C)."
12,OAK-MAPLE SLOPE FOREST,431991.0,1991.0,1982.0,10,21.3,10,," (10 sunrise); 29 April; 15, 21, 22, 25, 27, 29 May; 3, 14, 20 June.",16.9,16.0,38.5,91/40 ha,No data provided.
203,SUBURBAN DECIDUOUS WOODLOT,441991.0,1991.0,1991.0,1,26.2,12,," (12 sunrise); 21, 23, 28, 30 May; 4, 6, 11, 13, 18, 20, 25, 27 June.",10.0,23.0,71.0,284/40 ha,"Mean start temp., 192°C (range 13~24°C)."
204,MATURE MESIC OAK FOREST,451991.0,1991.0,1991.0,1,25.2,11,," (11 sunrise); 11, 12, 20, 27, 28 May; 28 June.",10.6,22.0,62.5,236/40 ha,"Mean start temp., 167°C (range 7-22°C)."
152,UPLAND OAK-RED MAPLE FOREST,461991.0,1991.0,1990.0,2,29.6,13,," (12 sunrise, 1 sunset); 5, 29 May; 28, 29, 30 June; 2, 4, 6, 7, 9, 11, 16 July.",10.1,27.0,80.5,319/40 ha,"Mean start temp, 17.5°C (range 5-29°C). Temperature and precipitation departures, respectively, from the 100-yr mean for: May, +3.2°C, -2.7 cm; June, + 12°C, -4.9 cm; July, -0.5°C, -3.7 cm. Data source: University of Rhode Island weather station, Kingston, RI."
205,DECIDUOUS CLEARCUT,471991.0,1991.0,1975.0,13,12.3,8,," (8 sunrise); 25, 26, 27, 29 May; 5, 8, 9, 16 June.",20.2,27.0,66.5,132/40 ha,No data provided.
153,MESOPHYTIC FOREST I,481991.0,1991.0,1981.0,10,14.1,12,," (8 sunrise, 4 sunset); 22, 26, 27, 29, 30 May; 2, 3, 7, 9, 10, 11, 15 June.",6.1,18.0,65.0,426/40 ha,"Mean start temp., 186°C (range 16-20°C). Temperatures were above average, precipitation below average for the census period."
16,MESOPHYTIC FOREST II,491991.0,1991.0,1981.0,10,12.2,12,," (8 sunrise, 4 sunset); 22,26, 27, 29, 30 May; 2, 3, 7, 9, 10, 11, 15 June.",6.1,18.0,57.0,374/ 40 ha,"Mean start temp., 184°C (range 16a20°C). Temperatures were above average and precipitation was below average for the census period."
206,OLD-GROWTH MIXED CONIFEROUS-RED FIR,501991.0,1991.0,1985.0,7,112.0,24,," (24 sunrise); 28, 29, 31 May; 3, 5, 6, 10, 11, 13, 14, 18, 19, 21, 24, 26, 28 June.",42.3,28.0,200.0,189/40 ha,"Mean start temp, 5.3°C (range -1-13°C). Due to heavy snow storms during March, there was a considerable amount of snow covering the plot when censusing began."
207,RIPARIAN FOREST,511991.0,1991.0,1991.0,1,18.8,10,," (8 sunrise, 2 sunset); 25, 26, 29, 31 May; 4, 11, 12, 14, 19, 28 June.",10.3,28.0,67.0,260/40 ha,"Mean start temp., 10.1°C (range 4-17°C)."
208,HEAVILY-THINNED WHITE SPRUCE PLANTATION,521991.0,1991.0,1985.0,7,21.5,11,," (8 sunrise; maximum number of observers/trip, 14); 13, 15, 20, 21, 24 May; 13, 14, 20, 22 June; 2, 3 July.",4.1,22.0,37.0,361/40 ha,"Mean start temp., 11.1°C (range 7-18°C). Temperature departures from average for May and June, respectively, +1°C and +1.5°C. Precipitation in May was average, in June, 2.3 cm below average. Data source: The Guillemot, newsletter of the Sorrento Scientific Society, Sorrento, ME."
155,MATURE RED SPRUCE FOREST,531991.0,1991.0,1989.0,3,24.5,8,," (8 sunrise); 24, 25 May; 1, 8, 15, 27 June; 6, 12 July.",16.0,26.0,65.0,163/40 ha,"Mean start temp., 11.8°C (range 4-18°C). The departure in the mean daily temperature from mid-May through mid-July was -1°C. Total precipitation during the same period was 1 cm below the long-term mean. Data source: Northeast Regional Climate Center, Cornell University, Ithaca, NY."
36,JACK PINE FOREST,541991.0,1991.0,1985.0,7,21.3,11,," (10 sunrise, 1 sunset); 4, 5, 6, 8, 11, 14, 18, 20, 21, 22, 23 June.",16.0,11.0,31.0,78/40 ha,"Mean start temp., 13°C (range 10-18°C)."
39,UPLAND CHRISTMAS TREE FARM,551991.0,1991.0,1983.0,9,18.3,9,,"; 26 May; 2, 9, 17, 25 June; 3, 10, 18 July; 13 August.",10.7,19.0,64.0,239/40 ha,"Mean start temp, 209°C (range 17-29°C). The average daily temperature in May, 161°C, was 7°C above the 57-yr mean; June, 183°C, and July, 209°C, were slightly above the long-term mean. Precipitation in May, 5.1 cm, and June, 0.9 cm, was well below the average, while July rainfall, 8.3 cm, was normal."
37,UPLAND SCOTCH PINE PLANTATION,561991.0,1991.0,1969.0,23,13.0,11,," (2 sunset); 9 April; 12, 29 May; 5, 12, 19, 26 June; 4, 11, 19 July; 14 August.",9.3,21.0,45.0,194/40 ha,"Mean start temp., 229°C (range 19-28°C). See BBC #55."
209,TAMARACK SLOUGH,571991.0,1991.0,1973.0,4,39.5,12,," (9 sunrise, 3 sunset); 7, 9, 14, 17, 27, 28, 29, 30 June; 1, 2, 3 July.",8.8,28.0,95.5,434/40 ha,"Mean start temp., 24°C (range 23-26°C)."
210,WHITE PINE-WHITE CEDAR SAVANNAH,581991.0,1991.0,1973.0,4,28.0,10,," (9 sunrise, 1 sunset); 2, 3, 7, 9, 14, 16, 17, 19, 24, 27 June.",9.3,24.0,75.0,323/40 ha,"Mean start temp., 20°C (range 18-22°C)."
157,MATURE WHITE PINE FOREST,591991.0,1991.0,1990.0,2,22.9,12,," (12 sunrise); 5, 8, 9, 11, 16, 19, 21, 24 May; 1, 2, 6, 7 June.",10.1,21.0,70.5,279/40 ha,"Mean start temp., 7.6°C (range 2-16°C). Temperature and precipitation departures, respectively, from the 100-yr mean for: May, +3.2°C, -2.7 cm; June, + 12°C, -4.9 cm; July, -0.5°C, -3.7 cm. Data source: University of Rhode Island weather station, Kingston, RI."
117,PINYON-JUNIPER WOODLAND,601991.0,1991.0,1983.0,9,20.9,8,," (8 sunrise); 8, 15, 22, 29 April; 6, 13, 20, 27 May.",31.3,11.0,14.0,18/40 ha,"Mean start temp, 55°C (range -1-14°C)."
20,GRAZED OAK-PINE WOODLAND,611991.0,1991.0,1985.0,7,117.0,24,," (24 sunrise); 25, 28 March; 1, 2, 4, 5, 9, 10, 13, 15, 18, 19, 23, 24, 26, 29 April.",29.7,25.0,139.5,188/40 ha,"Mean start temp., 84°C (range 5-14°C). See BBC #62."
19,UNGRAZED OAK-PINE WOODLAND,621991.0,1991.0,1985.0,7,125.0,24,," (24 sunrise); 25, 28 March; 1, 2, 4, 5, 9, 10, 13, 15, 18, 19, 23, 24, 26, 29 April.",29.7,29.0,134.5,181/40 ha,"Mean start temp, 7.4°C (range 4-13°C). March was unseasonably wet causing intermittent streams, ponds, and wet meadows to contain water during the breeding season."
159,PONDEROSA PINE-SCRUB OAK FOREST,631991.0,1991.0,1980.0,11,23.3,11,," (10 sunrise, 1 sunset); 10, 14, 16, 22, 30 May; 4, 11, 14, 20, 27 June; 3 July. Maximum number of observers/trip, six.",12.0,22.0,135.0,450/40 ha,"Mean start temp, 145°C (range 10-20°C). Mean temperature and precipitation, respectively, for: May, 122°C, 2.54 cm; June, 156°C, 8.08 cm; July, 189°C, 11.2 cm."
108,CLIMAX HEMLOCK-WHITE PINE FOREST WITH,641991.0,1991.0,1965.0,25,14.8,8,," (2 sunrise, 1 sunset); 17, 31 May; 1, 7, 8, 11, 22 June.",10.5,40.0,91.5,349/40 ha,"Mean start temp., 19.8°C (range 8-27°C)."
